gene_id	chromosome	start	end	strand	gene_name
RN7SL657P	chr1	1405460	1405752	-	RN7SL657P
MRPL20-DT	chr1	1408348	1410684	+	MRPL20-DT
ANKRD65	chr1	1418420	1421276	-	ANKRD65
ANKRD65-AS1	chr1	1420166	1423287	+	ANKRD65-AS1
TMEM88B	chr1	1425871	1430255	+	TMEM88B
LINC01770	chr1	1430157	1434573	-	LINC01770
LOC107985729	chr1	1433233	1435549	+	LOC107985729
VWA1	chr1	1435690	1442882	+	VWA1
ATAD3C	chr1	1449689	1470163	+	ATAD3C
ATAD3B	chr1	1471765	1509466	+	ATAD3B
ATAD3A	chr1	1512162	1534685	+	ATAD3A
TMEM240	chr1	1534778	1540624	-	TMEM240
SSU72	chr1	1541673	1574863	-	SSU72
FNDC10	chr1	1598012	1600135	-	FNDC10
LOC105378586	chr1	1599433	1607210	+	LOC105378586
MIB2	chr1	1613731	1630605	+	MIB2
LOC124903821	chr1	1624757	1631786	-	LOC124903821
MMP23B	chr1	1632173	1634654	+	MMP23B
CDK11B	chr1	1635225	1659004	-	CDK11B
SLC35E2B	chr1	1661478	1692795	-	SLC35E2B
LOC100288379	chr1	1673283	1674435	+	LOC100288379
MMP23A	chr1	1699939	1701808	+	MMP23A
CDK11A	chr1	1702379	1724357	-	CDK11A
SLC35E2A	chr1	1727385	1746070	-	SLC35E2A
LOC100129381	chr1	1735819	1737291	+	LOC100129381
LOC112268218	chr1	1745819	1751742	+	LOC112268218
NADK	chr1	1751232	1780514	-	NADK
GNB1	chr1	1785286	1891087	-	GNB1
GNB1-DT	chr1	1891180	1892726	+	GNB1-DT
LOC124903822	chr1	1906002	1909126	-	LOC124903822
CALML6	chr1	1915260	1917296	+	CALML6
TMEM52	chr1	1917591	1919279	-	TMEM52
CFAP74	chr1	1921957	2003786	-	CFAP74
LOC107984872	chr1	1957368	1959030	+	LOC107984872
LOC105378589	chr1	2013198	2018088	-	LOC105378589
GABRD	chr1	2019345	2030758	+	GABRD
LOC105378590	chr1	2035766	2047447	-	LOC105378590
PRKCZ	chr1	2048504	2185395	+	PRKCZ
PRKCZ-DT	chr1	2049201	2050070	-	PRKCZ-DT
PRKCZ-AS1	chr1	2181794	2183875	-	PRKCZ-AS1
FAAP20	chr1	2184477	2212720	-	FAAP20
LOC112268219	chr1	2189798	2192458	+	LOC112268219
LOC105378593	chr1	2207013	2209335	+	LOC105378593
LOC124903823	chr1	2212391	2220749	+	LOC124903823
SKI	chr1	2228319	2310213	+	SKI
LOC124903824	chr1	2314995	2319268	+	LOC124903824
MORN1	chr1	2321253	2391554	-	MORN1
LOC100129534	chr1	2350414	2352661	-	LOC100129534
RER1	chr1	2391841	2405436	+	RER1
PEX10	chr1	2403974	2413827	-	PEX10
PLCH2	chr1	2415943	2505532	+	PLCH2
PANK4	chr1	2508537	2526596	-	PANK4
HES5	chr1	2528745	2530263	-	HES5
TNFRSF14-AS1	chr1	2549920	2557011	-	TNFRSF14-AS1
TNFRSF14	chr1	2554234	2563829	+	TNFRSF14
LOC100996583	chr1	2566535	2584534	+	LOC100996583
PRXL2B	chr1	2586523	2591468	+	PRXL2B
MMEL1	chr1	2590639	2633016	-	MMEL1
MMEL1-AS1	chr1	2628756	2636620	+	MMEL1-AS1
TTC34	chr1	2636986	2801693	-	TTC34
LOC105378602	chr1	2701377	2702276	+	LOC105378602
LOC105378601	chr1	2762488	2763387	+	LOC105378601
LOC112268220	chr1	2763419	2767518	+	LOC112268220
LOC107985732	chr1	2764564	2765629	+	LOC107985732
LOC105378600	chr1	2766073	2766972	+	LOC105378600
LOC105378598	chr1	2767828	2784745	+	LOC105378598
LOC107984904	chr1	2771826	2772891	+	LOC107984904
LOC105378599	chr1	2773495	2774394	+	LOC105378599
LOC124903825	chr1	2814058	2817767	+	LOC124903825
LOC124903826	chr1	2814385	2816806	-	LOC124903826
ACTRT2	chr1	3021467	3022903	+	ACTRT2
LOC124903827	chr1	3055423	3075562	-	LOC124903827
PRDM16-DT	chr1	3059617	3067725	-	PRDM16-DT
PRDM16	chr1	3069203	3438621	+	PRDM16
LOC100420339	chr1	3069658	3070697	+	LOC100420339
LOC105378606	chr1	3161281	3166895	-	LOC105378606
LOC107984909	chr1	3187558	3195526	+	LOC107984909
LOC105378605	chr1	3210736	3213745	-	LOC105378605
LOC124903828	chr1	3266945	3297275	+	LOC124903828
LOC105378604	chr1	3306653	3323497	-	LOC105378604
ARHGEF16	chr1	3454665	3481113	+	ARHGEF16
MEGF6	chr1	3487951	3624786	-	MEGF6
LOC105378608	chr1	3548480	3550572	+	LOC105378608
TPRG1L	chr1	3625015	3630127	+	TPRG1L
WRAP73	chr1	3630770	3650103	-	WRAP73
TP73	chr1	3652516	3736201	+	TP73
TP73-AS3	chr1	3658643	3668945	-	TP73-AS3
TP73-AS2	chr1	3712200	3714298	-	TP73-AS2
GFOD3P	chr1	3735984	3747373	-	GFOD3P
CCDC27	chr1	3752450	3771645	+	CCDC27
SMIM1	chr1	3772749	3775956	+	SMIM1
LRRC47	chr1	3778559	3796498	-	LRRC47
RN7SL574P	chr1	3782815	3783111	+	RN7SL574P
CEP104	chr1	3812086	3857211	-	CEP104
LOC124903829	chr1	3849811	3851719	-	LOC124903829
DFFB	chr1	3857476	3885429	+	DFFB
C1orf174	chr1	3889133	3900272	-	C1orf174
LINC01134	chr1	3900404	3915447	+	LINC01134
LINC01346	chr1	3940612	3952583	+	LINC01346
LINC01345	chr1	3947149	3948980	-	LINC01345
LINC02780	chr1	3976090	4012704	+	LINC02780
EEF1DP6	chr1	4175463	4175899	-	EEF1DP6
LINC01777	chr1	4412051	4424684	+	LINC01777
LOC105376674	chr1	4432146	4443634	+	LOC105376674
LOC124904578	chr1	4552005	4556565	-	LOC124904578
LINC01646	chr1	4571487	4583706	+	LINC01646
AJAP1	chr1	4654609	4792534	+	AJAP1
LINC02781	chr1	4973391	4983958	+	LINC02781
LOC124904589	chr1	4992630	4998716	-	LOC124904589
LOC102724429	chr1	4997369	5004349	+	LOC102724429
LINC02782	chr1	5086459	5098548	-	LINC02782
LOC105376682	chr1	5131856	5135311	+	LOC105376682
LOC124904590	chr1	5422642	5428379	+	LOC124904590
LOC107984911	chr1	5470329	5481317	-	LOC107984911
LOC105376686	chr1	5490842	5494629	-	LOC105376686
LOC124900451	chr1	5680952	5681026	+	LOC124900451
LOC124903830	chr1	5704311	5713958	-	LOC124903830
NPHP4	chr1	5862811	5992425	-	NPHP4
KCNAB2	chr1	5992676	6101180	+	KCNAB2
LOC124903831	chr1	6085255	6086371	+	LOC124903831
CHD5	chr1	6101787	6180321	-	CHD5
RPL22	chr1	6185020	6199595	-	RPL22
RNF207-AS1	chr1	6204840	6205780	-	RNF207-AS1
RNF207	chr1	6206119	6221299	+	RNF207
ICMT	chr1	6221193	6235964	-	ICMT
ICMT-DT	chr1	6236240	6239444	+	ICMT-DT
HES3	chr1	6244179	6245578	+	HES3
GPR153	chr1	6247353	6261098	-	GPR153
ACOT7	chr1	6264272	6393767	-	ACOT7
HES2	chr1	6415232	6419919	-	HES2
ESPN	chr1	6424776	6461370	+	ESPN
TNFRSF25	chr1	6460786	6466173	-	TNFRSF25
PLEKHG5	chr1	6467122	6520092	-	PLEKHG5
NOL9	chr1	6521347	6554513	-	NOL9
RNU6-731P	chr1	6540854	6540964	+	RNU6-731P
TAS1R1	chr1	6555307	6579755	+	TAS1R1
LOC107984912	chr1	6567548	6579433	-	LOC107984912
ZBTB48	chr1	6579994	6589280	+	ZBTB48
KLHL21	chr1	6590724	6602869	-	KLHL21
LOC107984913	chr1	6603447	6613387	-	LOC107984913
PHF13	chr1	6613731	6624030	+	PHF13
THAP3	chr1	6624868	6635595	+	THAP3
DNAJC11	chr1	6634170	6701816	-	DNAJC11
LINC01672	chr1	6724745	6730012	+	LINC01672
LOC124904847	chr1	6752723	6752821	+	LOC124904847
CAMTA1-DT	chr1	6783892	6784980	-	CAMTA1-DT
CAMTA1	chr1	6785454	7769706	+	CAMTA1
LOC124903832	chr1	6828817	6852145	+	LOC124903832
RPL37P9	chr1	6834282	6834637	-	RPL37P9
CAMTA1-AS3	chr1	7008376	7014279	-	CAMTA1-AS3
RNU1-8P	chr1	7219360	7219524	+	RNU1-8P
CAMTA1-IT1	chr1	7364394	7370270	+	CAMTA1-IT1
CAMTA1-AS2	chr1	7382487	7389754	-	CAMTA1-AS2
CAMTA1-AS1	chr1	7440567	7441617	-	CAMTA1-AS1
LOC105376691	chr1	7503037	7508625	+	LOC105376691
LOC105376689	chr1	7693124	7704562	-	LOC105376689
VAMP3	chr1	7771296	7781432	+	VAMP3
PER3	chr1	7784291	7845177	+	PER3
LOC124903833	chr1	7809137	7827118	-	LOC124903833
UTS2	chr1	7847612	7913249	-	UTS2
TNFRSF9	chr1	7915871	7940839	-	TNFRSF9
TRUND-NNN4-1	chr1	7930279	7930348	-	TRUND-NNN4-1
PARK7	chr1	7961711	7985505	+	PARK7
LOC124903834	chr1	7999127	8006733	+	LOC124903834
ERRFI1	chr1	8011727	8026309	-	ERRFI1
ERRFI1-DT	chr1	8026493	8127070	+	ERRFI1-DT
RPL7AP18	chr1	8057181	8058487	-	RPL7AP18
LOC107984915	chr1	8129155	8147644	-	LOC107984915
LOC100129776	chr1	8189826	8192773	+	LOC100129776
RNU1-7P	chr1	8206434	8206597	-	RNU1-7P
LINC01714	chr1	8208672	8215210	+	LINC01714
LOC105376695	chr1	8239958	8249007	+	LOC105376695
LOC124903835	chr1	8259371	8296449	+	LOC124903835
RNU6-991P	chr1	8292157	8292263	-	RNU6-991P
SLC45A1	chr1	8318114	8344165	+	SLC45A1
RERE	chr1	8352404	8817640	-	RERE
RERE-AS1	chr1	8424645	8435016	+	RERE-AS1
SNORD128	chr1	8494800	8494913	-	SNORD128
LOC124900452	chr1	8511795	8511919	-	LOC124900452
RPL7P11	chr1	8750410	8751091	+	RPL7P11
RPL7P7	chr1	8786129	8786951	-	RPL7P7
RPL27P3	chr1	8798438	8799557	+	RPL27P3
RPL23AP19	chr1	8831113	8831432	+	RPL23AP19
ENO1	chr1	8861000	8878686	-	ENO1
ENO1-AS1	chr1	8878835	8879885	+	ENO1-AS1
RNU6-304P	chr1	8883427	8883533	-	RNU6-304P
HMGN2P17	chr1	8893411	8894603	+	HMGN2P17
LOC112268261	chr1	8905216	8926874	-	LOC112268261
CA6	chr1	8945868	8975092	+	CA6
RN7SL451P	chr1	8979576	8979874	-	RN7SL451P
SLC2A7	chr1	8992534	9026423	-	SLC2A7
SLC2A5	chr1	9035106	9094195	-	SLC2A5
LOC124900441	chr1	9082696	9082879	+	LOC124900441
GPR157	chr1	9100305	9129102	-	GPR157
MIR34AHG	chr1	9148011	9182338	-	MIR34AHG
LNCTAM34A	chr1	9182204	9192086	+	LNCTAM34A
H6PD	chr1	9234774	9271337	+	H6PD
LOC124903836	chr1	9241963	9242718	-	LOC124903836
SPSB1	chr1	9292894	9369532	+	SPSB1
LINC02606	chr1	9425094	9428996	-	LINC02606
RNA5SP40	chr1	9437669	9437778	-	RNA5SP40
SLC25A33	chr1	9539465	9585173	+	SLC25A33
RPL9P11	chr1	9576405	9577081	+	RPL9P11
TMEM201	chr1	9588911	9614877	+	TMEM201
LOC124903837	chr1	9614664	9622316	+	LOC124903837
PIK3CD	chr1	9627258	9729114	+	PIK3CD
LOC105376712	chr1	9628447	9629427	-	LOC105376712
PIK3CD-AS1	chr1	9652610	9654586	-	PIK3CD-AS1
RPL26P7	chr1	9662288	9662628	-	RPL26P7
PIK3CD-AS2	chr1	9672426	9687574	-	PIK3CD-AS2
LOC124903839	chr1	9718103	9718736	-	LOC124903839
CLSTN1	chr1	9728926	9824526	-	CLSTN1
MZT1P1	chr1	9780822	9781440	+	MZT1P1
CTNNBIP1	chr1	9848276	9910269	-	CTNNBIP1
LOC105376717	chr1	9850665	9855492	+	LOC105376717
LOC124903838	chr1	9879947	9883698	-	LOC124903838
LZIC	chr1	9922118	9943391	-	LZIC
NMNAT1	chr1	9942923	9996892	+	NMNAT1
RN7SKP269	chr1	9947318	9947562	+	RN7SKP269
TMEM274P	chr1	9950572	9960787	-	TMEM274P
LOC124903840	chr1	9996719	9998089	-	LOC124903840
RBP7	chr1	9997228	10016021	+	RBP7
UBE4B	chr1	10032958	10181239	+	UBE4B
RPL21P21	chr1	10054412	10054781	-	RPL21P21
PGAM1P11	chr1	10058673	10059654	+	PGAM1P11
RNU6-828P	chr1	10163268	10163374	+	RNU6-828P
KIF1B	chr1	10210570	10381603	+	KIF1B
RNU6-37P	chr1	10298966	10299070	+	RNU6-37P
RN7SL731P	chr1	10306465	10306757	+	RN7SL731P
PGD	chr1	10399064	10420511	+	PGD
CENPS-CORT	chr1	10430433	10452153	+	CENPS-CORT
CENPS	chr1	10430433	10442808	+	CENPS
CORT	chr1	10450031	10451998	+	CORT
DFFA	chr1	10456522	10472529	-	DFFA
PEX14	chr1	10474950	10630758	+	PEX14
RN7SL614P	chr1	10616836	10617115	+	RN7SL614P
CASZ1	chr1	10636604	10796646	-	CASZ1
LOC105376733	chr1	10809160	10815658	-	LOC105376733
HSPE1P24	chr1	10895761	10895998	+	HSPE1P24
LOC105376735	chr1	10912912	10918733	-	LOC105376735
C1orf127	chr1	10946475	10982076	-	C1orf127
CFL1P6	chr1	10989810	10991829	-	CFL1P6
TARDBP	chr1	11012654	11030528	+	TARDBP
MASP2	chr1	11026523	11047239	-	MASP2
SRM	chr1	11054589	11060018	-	SRM
EXOSC10	chr1	11066618	11099869	-	EXOSC10
EXOSC10-AS1	chr1	11099675	11102105	+	EXOSC10-AS1
MTOR	chr1	11106535	11262551	-	MTOR
MTOR-AS1	chr1	11143898	11149538	+	MTOR-AS1
RNU6-537P	chr1	11152350	11152413	+	RNU6-537P
LOC124904848	chr1	11169507	11169613	-	LOC124904848
ANGPTL7	chr1	11189355	11195981	+	ANGPTL7
RNU6-291P	chr1	11226254	11226360	+	RNU6-291P
RPL39P6	chr1	11232910	11233313	+	RPL39P6
UBIAD1	chr1	11273198	11299574	+	UBIAD1
UBE2V2P3	chr1	11278414	11279275	-	UBE2V2P3
LOC105376737	chr1	11311876	11316302	-	LOC105376737
LOC105376739	chr1	11357945	11365055	+	LOC105376739
LOC105376740	chr1	11371689	11377536	+	LOC105376740
LOC124903841	chr1	11394935	11398213	+	LOC124903841
MTCYBP45	chr1	11425257	11425821	-	MTCYBP45
DISP3	chr1	11479155	11537551	+	DISP3
LOC124903842	chr1	11495948	11499474	-	LOC124903842
LINC01647	chr1	11609531	11613355	+	LINC01647
FBXO2	chr1	11648387	11654429	-	FBXO2
FBXO44	chr1	11654407	11663327	+	FBXO44
FBXO6	chr1	11664200	11674354	+	FBXO6
MAD2L2	chr1	11674480	11691830	-	MAD2L2
DRAXIN	chr1	11686635	11725857	+	DRAXIN
AGTRAP	chr1	11736136	11750769	+	AGTRAP
LOC101060126	chr1	11761379	11762321	-	LOC101060126
C1orf167	chr1	11762193	11789585	+	C1orf167
C1orf167-AS1	chr1	11777077	11779619	-	C1orf167-AS1
MTHFR	chr1	11785723	11805964	-	MTHFR
CLCN6	chr1	11806191	11843130	+	CLCN6
NPPA-AS1	chr1	11840319	11847616	+	NPPA-AS1
NPPA	chr1	11845709	11847783	-	NPPA
NPPB	chr1	11857464	11858945	-	NPPB
SBF1P2	chr1	11877769	11880758	+	SBF1P2
RNU5E-1	chr1	11908154	11908272	+	RNU5E-1
RNU5E-4P	chr1	11909808	11909927	-	RNU5E-4P
LOC124903843	chr1	11911493	11913226	+	LOC124903843
KIAA2013	chr1	11919591	11926427	-	KIAA2013
PLOD1	chr1	11934717	11975537	+	PLOD1
MFN2	chr1	11980444	12013508	+	MFN2
MIIP	chr1	12019498	12032045	+	MIIP
RN7SL649P	chr1	12036740	12037014	-	RN7SL649P
TNFRSF8	chr1	12063303	12144207	+	TNFRSF8
RNU6-777P	chr1	12077881	12077984	-	RNU6-777P
RPL23AP89	chr1	12080250	12080546	-	RPL23AP89
TNFRSF1B	chr1	12166991	12209220	+	TNFRSF1B
LOC124903844	chr1	12176179	12180309	+	LOC124903844
RPL10P17	chr1	12220727	12221109	-	RPL10P17
LOC124900427	chr1	12221148	12221271	-	LOC124900427
VPS13D	chr1	12230030	12512047	+	VPS13D
LOC124903845	chr1	12356724	12368869	-	LOC124903845
LOC124904680	chr1	12409168	12409251	-	LOC124904680
SNORA59A	chr1	12507246	12507397	+	SNORA59A
LINC02766	chr1	12525553	12529092	+	LINC02766
DHRS3	chr1	12567910	12618210	-	DHRS3
RNU6ATAC18P	chr1	12569972	12570072	-	RNU6ATAC18P
AADACL4	chr1	12644085	12667076	+	AADACL4
LOC124903846	chr1	12702894	12707849	-	LOC124903846
AADACL3	chr1	12716110	12728760	+	AADACL3
LOC124904811	chr1	12739736	12739839	+	LOC124904811
CFAP107	chr1	12746200	12763699	+	CFAP107
PRAMEF12	chr1	12773738	12777906	+	PRAMEF12
PRAMEF1	chr1	12791397	12796628	+	PRAMEF1
LINC01784	chr1	12822686	12823223	-	LINC01784
PRAMEF11	chr1	12824605	12831410	-	PRAMEF11
PRAMEF30P	chr1	12838470	12841383	-	PRAMEF30P
HNRNPCL1	chr1	12847377	12848720	-	HNRNPCL1
PRAMEF2	chr1	12857086	12861909	+	PRAMEF2
PRAMEF4	chr1	12879212	12886201	-	PRAMEF4
PRAMEF10	chr1	12892896	12898270	-	PRAMEF10
PRAMEF7	chr1	12916610	12920751	+	PRAMEF7
RNU6-1072P	chr1	12922554	12922659	+	RNU6-1072P
PRAMEF29P	chr1	12926162	12928882	+	PRAMEF29P
PRAMEF6	chr1	12938472	12947580	-	PRAMEF6
PRAMEF28P	chr1	13029364	13032130	+	PRAMEF28P
PRAMEF27	chr1	13049476	13056575	-	PRAMEF27
HNRNPCL3	chr1	13060769	13062878	+	HNRNPCL3
PRAMEF25	chr1	13070774	13077884	+	PRAMEF25
PRAMEF34P	chr1	13094515	13099717	-	PRAMEF34P
PRAMEF35P	chr1	13104375	13105689	-	PRAMEF35P
HNRNPCL2	chr1	13115488	13116854	-	HNRNPCL2
PRAMEF36P	chr1	13127069	13132274	+	PRAMEF36P
PRAMEF26	chr1	13148907	13156009	-	PRAMEF26
HNRNPCL4	chr1	13163914	13165631	-	HNRNPCL4
PRAMEF9	chr1	13171848	13179459	+	PRAMEF9
PRAMEF13	chr1	13196188	13201409	-	PRAMEF13
PRAMEF18	chr1	13222695	13226154	-	PRAMEF18
PRAMEF31P	chr1	13245837	13248814	+	PRAMEF31P
PRAMEF5	chr1	13254198	13263435	+	PRAMEF5
PRAMEF32P	chr1	13272907	13275627	-	PRAMEF32P
RNU6-771P	chr1	13279126	13279231	-	RNU6-771P
PRAMEF8	chr1	13281304	13285137	-	PRAMEF8
PRAMEF33	chr1	13303539	13308907	+	PRAMEF33
PRAMEF15	chr1	13315581	13322598	+	PRAMEF15
PRAMEF14	chr1	13341892	13347134	-	PRAMEF14
PRAMEF19	chr1	13368431	13371947	-	PRAMEF19
PRAMEF17	chr1	13389632	13392629	+	PRAMEF17
PRAMEF20	chr1	13410450	13421328	+	PRAMEF20
LRRC38	chr1	13474973	13514003	-	LRRC38
LOC102724856	chr1	13487571	13492872	+	LOC102724856
LOC107984918	chr1	13513220	13516264	+	LOC107984918
BRWD1P1	chr1	13554913	13555894	+	BRWD1P1
PDPN	chr1	13583757	13617957	+	PDPN
RNA5SP41	chr1	13623184	13623284	-	RNA5SP41
LOC105378612	chr1	13670194	13674718	+	LOC105378612
LOC105376756	chr1	13687047	13691892	-	LOC105376756
LOC124900446	chr1	13696070	13696199	-	LOC124900446
PRDM2	chr1	13700188	13825079	+	PRDM2
KAZN	chr1	13892824	15118043	+	KAZN
RNU6-1265P	chr1	14124233	14124335	-	RNU6-1265P
LOC107985467	chr1	14201945	14255662	+	LOC107985467
LOC124903847	chr1	14283514	14311343	+	LOC124903847
KAZN-AS1	chr1	14348955	14419973	-	KAZN-AS1
LOC124903850	chr1	14493049	14502155	+	LOC124903850
TBCAP2	chr1	14691937	14692400	-	TBCAP2
LOC105376759	chr1	14801407	14805206	-	LOC105376759
LOC124903848	chr1	14823121	14833064	-	LOC124903848
LOC107985469	chr1	14888740	14911700	-	LOC107985469
LOC124903849	chr1	14922372	14923891	-	LOC124903849
TMEM51-AS1	chr1	15111815	15152464	-	TMEM51-AS1
TMEM51	chr1	15152566	15220478	+	TMEM51
TMEM51-AS2	chr1	15164192	15171624	-	TMEM51-AS2
MFFP1	chr1	15191757	15193125	-	MFFP1
ZBTB2P1	chr1	15226364	15227243	+	ZBTB2P1
FHAD1	chr1	15236521	15403010	+	FHAD1
LOC124903853	chr1	15287356	15291933	-	LOC124903853
LOC124903852	chr1	15316844	15323082	-	LOC124903852
FHAD1-AS1	chr1	15326680	15343883	-	FHAD1-AS1
LOC124903851	chr1	15334524	15340926	-	LOC124903851
EFHD2-AS1	chr1	15402979	15412368	-	EFHD2-AS1
EFHD2	chr1	15409888	15430339	+	EFHD2
CTRC	chr1	15438443	15449242	+	CTRC
CELA2A	chr1	15456732	15472091	+	CELA2A
LOC105376767	chr1	15463515	15467505	-	LOC105376767
CELA2B	chr1	15476104	15491395	+	CELA2B
CASP9	chr1	15491401	15524912	-	CASP9
DNAJC16	chr1	15526848	15571733	+	DNAJC16
SCARNA21B	chr1	15542166	15542304	+	SCARNA21B
AGMAT	chr1	15571699	15585051	-	AGMAT
LOC124903854	chr1	15588222	15603543	-	LOC124903854
CHCHD2P6	chr1	15604528	15605314	+	CHCHD2P6
LOC124904764	chr1	15607763	15607806	-	LOC124904764
RNU7-179P	chr1	15608078	15608145	-	RNU7-179P
CD24P1	chr1	15609982	15614946	-	CD24P1
DDI2	chr1	15617458	15669044	+	DDI2
RSC1A1	chr1	15659713	15662033	+	RSC1A1
PLEKHM2	chr1	15681506	15734769	+	PLEKHM2
SLC25A34	chr1	15736258	15741392	+	SLC25A34
SLC25A34-AS1	chr1	15740051	15749890	-	SLC25A34-AS1
TMEM82	chr1	15742499	15747982	+	TMEM82
FBLIM1	chr1	15756638	15786589	+	FBLIM1
RPL12P14	chr1	15792727	15793339	+	RPL12P14
UQCRHL	chr1	15807374	15807649	-	UQCRHL
RPS16P1	chr1	15828212	15828733	+	RPS16P1
SPEN-AS1	chr1	15834215	15848147	-	SPEN-AS1
SPEN	chr1	15847707	15940456	+	SPEN
LOC124904815	chr1	15910897	15910997	+	LOC124904815
ZBTB17	chr1	15941869	15976101	-	ZBTB17
LOC124903855	chr1	15949931	15967643	+	LOC124903855
TBC1D3P6	chr1	15994814	15995276	+	TBC1D3P6
SRARP	chr1	16004236	16008807	+	SRARP
HSPB7	chr1	16014029	16019594	-	HSPB7
